Program	Optimization	K	Iterations	Threads	Time (ms)
OMP 4K	O2	256	16	12	46548
OMP 4K	O2	256	16	12	47792
OMP 4K	O2	256	16	12	82030
OMP 4K	O2	256	20	12	54668
OMP 4K	O2	256	20	12	55293
OMP 4K	O2	256	20	12	55399
OMP 4K	O2	256	20	12	55445
OMP 4K	O2	256	20	12	56209
OMP 4K	O2	256	20	12	56979
OMP 4K	O2	256	20	12	56773
OMP 4K	O2	256	20	12	57569
OMP 4K	O2	64	32	48	46053
OMP 4K	O2	64	32	48	58321
OMP 4K	O2	256	20	48	30943
OMP 4K	O2	256	20	48	32439
OMP 4K	O2	256	8	48	12654
OMP 4K	O2	256	8	48	14774
OMP 4K	O2	64	8	48	11393
OMP 4K	O2	64	8	48	14612
OMP 4K	O2	256	16	48	24476
OMP 4K	O2	256	16	48	25369
OMP 4K	O2	64	20	48	28812
OMP 4K	O2	64	20	48	36107
OMP 4K	O2	64	16	48	23075
OMP 4K	O2	64	16	48	28924
OMP 4K	O2	256	32	48	49926
OMP 4K	O2	256	32	48	51478
OMP 4K	O2	256	8	48	12286
OMP 4K	O2	64	16	48	23001
OMP 4K	O2	256	8	48	12950
OMP 4K	O2	64	16	48	28767
OMP 4K	O2	64	8	48	11588
OMP 4K	O2	64	8	48	11740
OMP 4K	O2	256	16	48	24684
OMP 4K	O2	256	16	48	28966
OMP 4K	O2	64	20	48	28777
OMP 4K	O2	64	20	48	35849
OMP 4K	O2	64	32	48	45624
OMP 4K	O2	64	32	48	46815
OMP 4K	O2	256	32	48	49385
OMP 4K	O2	256	32	48	57536
OMP 4K	O2	256	20	48	31291
OMP 4K	O2	256	20	48	31557
OMP 4K	O2	64	20	48	28991
OMP 4K	O2	64	16	48	23234
OMP 4K	O2	64	20	48	36614
OMP 4K	O2	64	16	48	23858
OMP 4K	O2	64	8	48	11436
OMP 4K	O2	64	8	48	14428
OMP 4K	O2	64	32	48	45375
OMP 4K	O2	64	32	48	47556
OMP 4K	O2	256	32	48	49064
OMP 4K	O2	256	8	48	12591
OMP 4K	O2	256	8	48	12796
OMP 4K	O2	256	32	48	56092
OMP 4K	O2	256	20	48	30837
OMP 4K	O2	256	20	48	37246
OMP 4K	O2	256	16	48	25065
OMP 4K	O2	256	16	48	25491
OMP 4K	O2	64	8	48	11432
OMP 4K	O2	64	8	48	14415
OMP 4K	O2	64	20	48	28558
OMP 4K	O2	64	20	48	36585
OMP 4K	O2	256	32	48	50128
OMP 4K	O2	256	32	48	51160
OMP 4K	O2	256	20	48	31434
OMP 4K	O2	256	20	48	37151
OMP 4K	O2	64	16	48	22919
OMP 4K	O2	64	16	48	23596
OMP 4K	O2	64	32	48	45822
OMP 4K	O2	64	32	48	57635
OMP 4K	O2	256	16	48	24824
OMP 4K	O2	256	8	48	12428
OMP 4K	O2	256	8	48	15111
OMP 4K	O2	256	16	48	25652
OMP 4K	O2	64	8	48	11417
OMP 4K	O2	64	8	48	11843
OMP 4K	O2	64	32	48	45566
OMP 4K	O2	256	8	48	12179
OMP 4K	O2	256	8	48	12462
OMP 4K	O2	64	32	48	57245
OMP 4K	O2	64	16	48	22962
OMP 4K	O2	64	16	48	28907
OMP 4K	O2	256	20	48	31045
OMP 4K	O2	256	20	48	32071
OMP 4K	O2	64	20	48	29015
OMP 4K	O2	64	20	48	36108
OMP 4K	O2	256	16	48	24509
OMP 4K	O2	256	32	48	49676
OMP 4K	O2	256	16	48	29344
OMP 4K	O2	256	32	48	50950
OMP 4K	O2	64	32	8	49917
OMP 4K	O2	256	20	8	67782
OMP 4K	O2	256	20	8	68737
OMP 4K	O2	64	32	8	50063
OMP 4K	O2	256	20	8	69672
OMP 4K	O2	64	32	8	51051
OMP 4K	O2	64	32	8	51223
OMP 4K	O2	64	32	8	52874
OMP 4K	O2	64	32	8	55600
OMP 4K	O2	256	20	8	73344
OMP 4K	O2	256	20	8	73372
OMP 4K	O2	64	32	8	55766
OMP 4K	O2	64	32	8	55784
OMP 4K	O2	256	20	8	73639
OMP 4K	O2	64	32	8	57405
OMP 4K	O2	64	32	8	60591
OMP 4K	O2	256	32	8	110632
OMP 4K	O2	256	32	8	116085
OMP 4K	O2	256	32	8	116325
OMP 4K	O2	256	32	8	119847
OMP 4K	O2	256	32	8	123315
OMP 4K	O2	256	20	8	79736
OMP 4K	O2	256	32	8	126843
OMP 4K	O2	256	32	8	130521
OMP 4K	O2	256	20	8	80304
OMP 4K	O2	256	32	8	135131
OMP 4K	O2	256	20	8	80235
OMP 4K	O2	256	20	8	81656
OMP 4K	O2	64	16	8	24978
OMP 4K	O2	64	8	8	12463
OMP 4K	O2	64	8	8	12651
OMP 4K	O2	64	8	8	12857
OMP 4K	O2	64	8	8	14717
OMP 4K	O2	64	8	8	14615
OMP 4K	O2	64	8	8	14732
OMP 4K	O2	64	8	8	14214
OMP 4K	O2	64	8	8	13925
OMP 4K	O2	64	8	8	14338
OMP 4K	O2	64	8	8	14593
OMP 4K	O2	64	16	8	28130
OMP 4K	O2	64	16	8	28384
OMP 4K	O2	64	16	8	27612
OMP 4K	O2	64	16	8	27684
OMP 4K	O2	64	16	8	28014
OMP 4K	O2	64	16	8	28097
OMP 4K	O2	64	16	8	28188
OMP 4K	O2	64	16	8	29370
OMP 4K	O2	64	16	8	29436
OMP 4K	O2	256	32	8	216241
OMP 4K	O2	256	8	8	27480
OMP 4K	O2	64	20	8	31244
OMP 4K	O2	256	32	8	240240
OMP 4K	O2	256	8	8	27956
OMP 4K	O2	256	8	8	29647
OMP 4K	O2	256	8	8	30363
OMP 4K	O2	64	20	8	34759
OMP 4K	O2	256	8	8	31780
OMP 4K	O2	256	8	8	29728
OMP 4K	O2	256	8	8	30490
OMP 4K	O2	256	8	8	30606
OMP 4K	O2	256	8	8	30746
OMP 4K	O2	256	8	8	32543
OMP 4K	O2	64	8	32	11610
OMP 4K	O2	64	8	32	11644
OMP 4K	O2	64	20	8	34471
OMP 4K	O2	64	20	8	34559
OMP 4K	O2	64	20	8	36480
OMP 4K	O2	64	20	8	31971
OMP 4K	O2	64	20	8	34791
OMP 4K	O2	64	20	8	35795
OMP 4K	O2	64	20	8	36086
OMP 4K	O2	64	20	8	37897
OMP 4K	O2	256	16	8	53107
OMP 4K	O2	256	16	8	61012
OMP 4K	O2	256	16	8	62385
OMP 4K	O2	256	16	8	63037
OMP 4K	O2	256	16	8	65244
OMP 4K	O2	256	8	32	12007
OMP 4K	O2	256	8	32	12539
OMP 4K	O2	256	16	8	66759
OMP 4K	O2	256	16	8	67170
OMP 4K	O2	256	16	8	67504
OMP 4K	O2	64	16	32	22887
OMP 4K	O2	64	16	32	23328
OMP 4K	O2	256	16	32	24516
OMP 4K	O2	256	16	32	25158
OMP 4K	O2	64	32	32	46453
OMP 4K	O2	64	32	32	46865
OMP 4K	O2	256	16	8	107766
OMP 4K	O2	256	16	8	113349
OMP 4K	O2	64	8	32	11699
OMP 4K	O2	256	32	32	47220
OMP 4K	O2	64	8	32	12090
OMP 4K	O2	256	32	32	49294
OMP 4K	O2	64	20	32	30084
OMP 4K	O2	256	20	32	29826
OMP 4K	O2	256	20	32	29883
OMP 4K	O2	64	20	32	41140
OMP 4K	O2	256	8	32	12447
OMP 4K	O2	256	8	32	12778
OMP 4K	O2	64	16	32	22819
OMP 4K	O2	64	16	32	23367
OMP 4K	O2	64	20	32	29166
OMP 4K	O2	64	20	32	29286
OMP 4K	O2	256	20	32	30647
OMP 4K	O2	256	20	32	30901
OMP 4K	O2	256	16	32	24294
OMP 4K	O2	256	16	32	24854
OMP 4K	O2	64	32	32	48171
OMP 4K	O2	64	16	32	23653
OMP 4K	O2	64	16	32	24012
OMP 4K	O2	64	32	32	64645
OMP 4K	O2	256	32	32	47510
OMP 4K	O2	256	32	32	49285
OMP 4K	O2	64	20	32	29072
OMP 4K	O2	64	20	32	29145
OMP 4K	O2	64	8	32	11496
OMP 4K	O2	64	8	32	11672
OMP 4K	O2	256	16	32	25609
OMP 4K	O2	256	16	32	29051
OMP 4K	O2	256	20	32	30207
OMP 4K	O2	256	20	32	31090
OMP 4K	O2	256	8	32	12455
OMP 4K	O2	64	32	32	48280
OMP 4K	O2	64	32	32	48385
OMP 4K	O2	256	8	32	16024
OMP 4K	O2	256	32	32	49361
OMP 4K	O2	64	8	32	11964
OMP 4K	O2	64	8	32	12026
OMP 4K	O2	256	32	32	49819
OMP 4K	O2	64	20	32	28440
OMP 4K	O2	64	20	32	29302
OMP 4K	O2	64	16	32	23971
OMP 4K	O2	64	16	32	32572
OMP 4K	O2	256	16	32	23966
OMP 4K	O2	256	16	32	24880
OMP 4K	O2	256	8	32	12155
OMP 4K	O2	256	8	32	12468
OMP 4K	O2	256	20	32	32231
OMP 4K	O2	256	20	32	32262
OMP 4K	O2	64	16	32	23204
OMP 4K	O2	64	16	32	23321
OMP 4K	O2	64	32	32	45496
OMP 4K	O2	64	32	32	46147
OMP 4K	O2	256	32	32	50019
OMP 4K	O2	256	20	32	29666
OMP 4K	O2	256	32	32	58519
OMP 4K	O2	256	20	32	31081
OMP 4K	O2	256	32	32	51048
OMP 4K	O2	256	32	32	52014
OMP 4K	O2	64	8	32	11512
OMP 4K	O2	64	8	32	11744
OMP 4K	O2	256	8	32	12315
OMP 4K	O2	256	8	32	14408
OMP 4K	O2	256	16	32	24618
OMP 4K	O2	256	16	32	25422
OMP 4K	O2	64	32	32	45836
OMP 4K	O2	64	32	32	46692
OMP 4K	O2	64	8	24	11695
OMP 4K	O2	64	20	32	28646
OMP 4K	O2	64	8	24	12485
OMP 4K	O2	64	20	32	29168
OMP 4K	O2	256	8	24	12009
OMP 4K	O2	256	8	24	12097
OMP 4K	O2	64	32	24	46876
OMP 4K	O2	256	20	24	29378
OMP 4K	O2	256	20	24	32640
OMP 4K	O2	64	20	24	30335
OMP 4K	O2	64	20	24	30584
OMP 4K	O2	64	16	24	23677
OMP 4K	O2	64	16	24	23974
OMP 4K	O2	64	32	24	72587
OMP 4K	O2	256	16	24	24825
OMP 4K	O2	256	16	24	26264
OMP 4K	O2	256	8	24	12717
OMP 4K	O2	256	8	24	16664
OMP 4K	O2	256	20	24	30318
OMP 4K	O2	256	20	24	30408
OMP 4K	O2	256	32	24	47913
OMP 4K	O2	256	32	24	49846
OMP 4K	O2	64	8	24	11590
OMP 4K	O2	64	8	24	11945
OMP 4K	O2	64	20	24	29224
OMP 4K	O2	64	20	24	29987
OMP 4K	O2	64	16	24	23144
OMP 4K	O2	64	16	24	23775
OMP 4K	O2	64	32	24	48653
OMP 4K	O2	256	16	24	24873
OMP 4K	O2	256	16	24	26257
OMP 4K	O2	256	32	24	48875
OMP 4K	O2	256	32	24	49657
OMP 4K	O2	64	8	24	11255
OMP 4K	O2	64	32	24	74313
OMP 4K	O2	64	8	24	11935
OMP 4K	O2	64	16	24	23067
OMP 4K	O2	64	16	24	24363
OMP 4K	O2	256	8	24	12438
OMP 4K	O2	256	32	24	48296
OMP 4K	O2	256	32	24	48737
OMP 4K	O2	256	8	24	18143
OMP 4K	O2	256	16	24	24457
OMP 4K	O2	256	16	24	24999
OMP 4K	O2	256	20	24	31218
OMP 4K	O2	256	20	24	31520
OMP 4K	O2	64	20	24	28888
OMP 4K	O2	64	16	24	24003
OMP 4K	O2	64	16	24	24000
OMP 4K	O2	64	32	24	44942
OMP 4K	O2	64	32	24	47618
OMP 4K	O2	64	20	24	45267
OMP 4K	O2	256	32	24	48922
OMP 4K	O2	256	32	24	49085
OMP 4K	O2	256	16	24	24640
OMP 4K	O2	256	16	24	26512
OMP 4K	O2	256	8	24	12278
OMP 4K	O2	256	8	24	12364
OMP 4K	O2	64	20	24	28684
OMP 4K	O2	64	20	24	29268
OMP 4K	O2	64	8	24	11650
OMP 4K	O2	64	8	24	12130
OMP 4K	O2	64	8	24	11826
OMP 4K	O2	64	8	24	12483
OMP 4K	O2	64	32	24	49681
OMP 4K	O2	64	16	24	23794
OMP 4K	O2	64	16	24	23797
OMP 4K	O2	256	20	24	30291
OMP 4K	O2	256	20	24	30922
OMP 4K	O2	256	8	24	12137
OMP 4K	O2	256	8	24	12264
OMP 4K	O2	64	32	24	72492
OMP 4K	O2	64	32	24	48575
OMP 4K	O2	64	32	24	49098
OMP 4K	O2	256	20	24	30688
OMP 4K	O2	256	20	24	30636
OMP 4K	O2	256	16	24	25121
OMP 4K	O2	256	32	24	48092
OMP 4K	O2	256	32	24	48530
OMP 4K	O2	256	16	24	33058
OMP 4K	O2	64	20	24	30272
OMP 4K	O2	64	20	24	30430
OMP 4K	O2	64	16	4	31413
OMP 4K	O2	64	16	4	31431
OMP 4K	O2	64	16	4	32683
OMP 4K	O2	64	16	4	33571
OMP 4K	O2	64	20	4	39492
OMP 4K	O2	64	20	4	39638
OMP 4K	O2	64	20	4	39777
OMP 4K	O2	64	16	4	34005
OMP 4K	O2	64	16	4	34040
OMP 4K	O2	64	16	4	34036
OMP 4K	O2	64	16	4	34052
OMP 4K	O2	64	16	4	34106
OMP 4K	O2	64	16	4	34072
OMP 4K	O2	64	20	4	41955
OMP 4K	O2	64	20	4	42327
OMP 4K	O2	64	20	4	42346
OMP 4K	O2	64	20	4	42391
OMP 4K	O2	64	20	4	42461
OMP 4K	O2	64	20	4	45960
OMP 4K	O2	64	20	4	46231
OMP 4K	O2	64	8	4	16433
OMP 4K	O2	64	8	4	16480
OMP 4K	O2	64	8	4	16490
OMP 4K	O2	64	8	4	16483
OMP 4K	O2	64	8	4	17446
OMP 4K	O2	64	8	4	17044
OMP 4K	O2	64	32	4	63779
OMP 4K	O2	64	32	4	65580
OMP 4K	O2	64	32	4	66718
OMP 4K	O2	64	8	4	16471
OMP 4K	O2	64	8	4	17004
OMP 4K	O2	64	8	4	17566
OMP 4K	O2	64	8	4	19035
OMP 4K	O2	64	32	4	67368
OMP 4K	O2	256	8	4	55374
OMP 4K	O2	256	8	4	57113
OMP 4K	O2	64	32	4	67621
OMP 4K	O2	256	8	4	58241
OMP 4K	O2	256	8	4	58766
OMP 4K	O2	256	8	4	59056
OMP 4K	O2	256	8	4	59355
OMP 4K	O2	256	8	4	59448
OMP 4K	O2	256	8	4	65553
OMP 4K	O2	64	32	4	73704
OMP 4K	O2	64	32	4	67883
OMP 4K	O2	64	8	2	28761
OMP 4K	O2	64	8	2	29698
OMP 4K	O2	64	8	2	30781
OMP 4K	O2	64	32	4	68405
OMP 4K	O2	64	32	4	73624
OMP 4K	O2	64	32	4	71089
OMP 4K	O2	256	16	4	118568
OMP 4K	O2	256	16	4	118941
OMP 4K	O2	256	16	4	120138
OMP 4K	O2	256	16	4	120149
OMP 4K	O2	256	16	4	120177
OMP 4K	O2	256	16	4	120425
OMP 4K	O2	256	8	4	103002
OMP 4K	O2	256	8	4	104901
OMP 4K	O2	256	16	4	132394
OMP 4K	O2	256	16	4	133564
OMP 4K	O2	64	8	2	33118
OMP 4K	O2	64	8	2	34100
OMP 4K	O2	64	8	2	31777
OMP 4K	O2	64	8	2	31884
OMP 4K	O2	64	8	2	36326
OMP 4K	O2	64	8	2	36463
OMP 4K	O2	64	8	2	36967
OMP 4K	O2	64	16	2	61230
OMP 4K	O2	64	16	2	64416
OMP 4K	O2	64	16	2	66600
OMP 4K	O2	64	16	2	66734
OMP 4K	O2	64	16	2	68238
OMP 4K	O2	64	16	2	71391
OMP 4K	O2	64	16	2	71683
OMP 4K	O2	64	16	2	72180
OMP 4K	O2	64	16	2	72200
OMP 4K	O2	64	16	2	72375
OMP 4K	O2	256	20	4	140899
OMP 4K	O2	256	20	4	141459
OMP 4K	O2	256	20	4	142308
OMP 4K	O2	256	20	4	145653
OMP 4K	O2	256	20	4	145677
OMP 4K	O2	64	8	1	50638
OMP 4K	O2	256	20	4	156955
OMP 4K	O2	256	20	4	156998
OMP 4K	O2	64	8	1	53659
OMP 4K	O2	256	20	4	159434
OMP 4K	O2	64	8	1	54701
OMP 4K	O2	64	8	1	54725
OMP 4K	O2	256	20	4	160112
OMP 4K	O2	256	20	4	160528
OMP 4K	O2	64	8	1	56449
OMP 4K	O2	64	8	1	64660
OMP 4K	O2	64	8	1	70602
OMP 4K	O2	64	8	1	70696
OMP 4K	O2	256	16	4	212783
OMP 4K	O2	256	16	4	212820
OMP 4K	O2	64	8	1	72581
OMP 4K	O2	64	8	1	78172
OMP 4K	O2	64	20	2	68750
OMP 4K	O2	64	20	2	69704
OMP 4K	O2	64	20	2	71108
OMP 4K	O2	64	20	2	71394
OMP 4K	O2	256	8	2	108409
OMP 4K	O2	64	20	2	77758
OMP 4K	O2	64	20	2	80399
OMP 4K	O2	64	20	2	80547
OMP 4K	O2	64	20	2	81595
OMP 4K	O2	256	8	2	116830
OMP 4K	O2	256	8	2	117552
OMP 4K	O2	64	20	2	85775
OMP 4K	O2	64	20	2	88636
OMP 4K	O2	256	32	4	228156
OMP 4K	O2	256	32	4	228382
OMP 4K	O2	256	32	4	231086
OMP 4K	O2	256	32	4	231545
OMP 4K	O2	256	32	4	231900
OMP 4K	O2	256	32	4	232413
OMP 4K	O2	256	32	4	232459
OMP 4K	O2	256	32	4	232475
OMP 4K	O2	256	32	4	232590
OMP 4K	O2	256	8	2	137885
OMP 4K	O2	256	8	2	141320
OMP 4K	O2	256	8	2	141370
OMP 4K	O2	64	32	2	109961
OMP 4K	O2	64	32	2	110276
OMP 4K	O2	256	32	4	257721
OMP 4K	O2	64	32	2	123349
OMP 4K	O2	64	16	1	104542
OMP 4K	O2	64	16	1	104921
OMP 4K	O2	64	16	1	109164
OMP 4K	O2	64	32	2	138143
OMP 4K	O2	64	16	1	113278
